date,market-cap,trade-volume,hash-rate,cost-per-transaction,transaction-fees,n-unique-addresses,n-transactions,n-transactions-excluding-popular,estimated-transaction-volume
1230940800,0.0,0.0,4.971026962962963e-08,0.0,0.0,1.0,1.0,1.0,0.0
1231027200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231113600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231286400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231372800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231459200,0.0,0.0,6.959437748148148e-07,0.0,0.0,14.0,14.0,14.0,0.0
1231545600,0.0,0.0,1.5410183585185185e-06,0.0,0.0,31.0,31.0,31.0,0.0
1231632000,0.0,0.0,5.269288580740741e-06,0.0,0.0,106.0,106.0,106.0,0.0
1231718400,0.0,0.0,4.424213997037036e-06,0.0,0.0,96.0,95.0,95.0,24.0
1231804800,0.0,0.0,5.716681007407408e-06,0.0,0.0,117.0,116.0,116.0,10.0
1231891200,0.0,0.0,6.263493973333333e-06,0.0,0.0,126.0,126.0,126.0,0.0
1231977600,0.0,0.0,6.313204242962964e-06,0.0,0.0,136.0,136.0,136.0,414.0
1232064000,0.0,0.0,5.766391277037038e-06,0.0,0.0,117.0,117.0,117.0,100.0
1232150400,0.0,0.0,5.368709120000001e-06,0.0,0.0,109.0,109.0,109.0,100.0
1232236800,0.0,0.0,5.020737232592592e-06,0.0,0.0,101.0,101.0,101.0,0.0
1232323200,0.0,0.0,5.915522085925926e-06,0.0,0.0,120.0,120.0,120.0,150.0
1232409600,0.0,0.0,5.766391277037038e-06,0.0,0.0,118.0,118.0,118.0,775.0
1232496000,0.0,0.0,5.6172604681481475e-06,0.0,0.0,115.0,115.0,115.0,500.0
1232582400,0.0,0.0,3.728270222222222e-06,0.0,0.0,76.0,76.0,76.0,500.0
1232668800,0.0,0.0,3.3305880651851844e-06,0.0,0.0,68.0,68.0,68.0,150.0
1232755200,0.0,0.0,9.892343656296296e-06,0.0,0.0,201.0,201.0,201.0,800.0
1232841600,0.0,0.0,9.643792308148147e-06,0.0,0.0,195.0,195.0,195.0,50.0
1232928000,0.0,0.0,5.766391277037038e-06,0.0,0.0,116.0,116.0,116.0,0.0
1233014400,0.0,0.0,5.1201577718518525e-06,0.0,0.0,105.0,105.0,105.0,1150.0
1233100800,0.0,0.0,5.1201577718518525e-06,0.0,0.0,103.0,103.0,103.0,0.0
1233187200,0.0,0.0,6.064652894814814e-06,0.0,0.0,122.0,122.0,122.0,0.0
1233273600,0.0,0.0,6.014942625185187e-06,0.0,0.0,122.0,122.0,122.0,600.0
1233360000,0.0,0.0,6.412624782222221e-06,0.0,0.0,129.0,129.0,129.0,0.0
1233446400,0.0,0.0,5.766391277037038e-06,0.0,0.0,118.0,118.0,118.0,1100.0
1233532800,0.0,0.0,6.313204242962964e-06,0.0,0.0,127.0,127.0,127.0,0.0
1233619200,0.0,0.0,6.760596669629629e-06,0.0,2.01,145.0,150.0,150.0,115.0
